"method","sample_id","sample_type","virus","genome_cov_pct","nc_baseline_pct","reads_aligned","rpm_filtered","gc_cutoff","rpm_cutoff","reads_cutoff","reason_missed"
"AVITI","B21","BAL","RSV",90.34,,519,51.45,0.76,1.12,,"Bleed ratio 0.1% < cutoff 0.2%"
"AVITI","B3","BAL","hMPV",,,,51.45,0.76,1.12,,"No sequencing record"
"AVITI","B4","BAL","HSV1",5.17,,86,51.45,0.76,1.12,,"Bleed ratio 0.0% < cutoff 0.2%"
"AVITI","B7","BAL","Adenovirus",0.43,,1,51.45,0.76,1.12,,"Covered bases 145 < 150; Genome cov 0.4% < cutoff 0.8%; RPM 0.20 < cutoff 1.12"
"ONT","B1","BAL","Parainfluenza_type_2",,,,,0.3,,2,"No sequencing record"
"ONT","B14","BAL","Adenovirus",1.29,10,3,,0.3,,2,"Genome cov 1.3% < NC baseline 10.0%"
"ONT","B21","BAL","RSV",,,,,0.3,,2,"No sequencing record"
"ONT","B3","BAL","hMPV",,,,,0.3,,2,"No sequencing record"
"ONT","B7","BAL","Adenovirus",,,,,0.3,,2,"No sequencing record"
