"method","lhs_id","avg_sens_spec_like_pct","specificity_like_pct","sensitivity_pct","aviti_bleed_ratio_min_pct","aviti_min_genome_coverage_pct","aviti_min_reads_per_million_filtered","ont_bleed_ratio_min_pct","ont_min_nb_reads","ont_min_genome_coverage_pct"
"AVITI",52794,88.24,100,76.47,0.218223448947608,0.764909995911061,1.11568436139883,,,
"ONT",15458,86.76,100,73.53,,,,3.07299691599386,2,0.296306939841597
