"lhs_id","TP","FN","OFF_TARGET","CORRECT_ABSENCE","neg_samples_n","neg_samples_fp","sensitivity_pct","specificity_like_pct","avg_sens_spec_like_pct","min_sens_spec_like_pct","aviti_bleed_ratio_min_pct","aviti_min_genome_coverage_pct","aviti_min_reads_per_million_filtered"
4418,18,16,1,357,14,0,52.94,100,76.47,52.94,2.19490038227537,46.2078407372889,17.5367591047604
4419,20,14,1,357,14,0,58.82,100,79.41,58.82,1.77482136007927,34.85608261472,11.9273020674834
4420,21,13,2,356,14,0,61.76,100,80.88,61.76,5.67878832520381,18.2591269826692,14.2959366039975
4421,18,16,1,357,14,0,52.94,100,76.47,52.94,2.71297123512649,41.3424798444366,18.8231169563971
4422,22,12,2,356,14,0,64.71,100,82.35,64.71,6.95417010633613,6.1470025145266,6.12930874473648
4423,20,14,2,356,14,0,58.82,100,79.41,58.82,9.00480617333739,29.2435338124674,12.4660951170974
4424,21,13,2,356,14,0,61.76,100,80.88,61.76,7.41807920828094,19.1026708019332,19.2667630843949
4425,18,16,1,357,14,0,52.94,100,76.47,52.94,3.35478454698431,47.1798710502934,15.772931868418
4426,21,13,2,356,14,0,61.76,100,80.88,61.76,1.58666537491463,16.1302980774858,10.383999326391
4427,21,13,2,356,14,0,61.76,100,80.88,61.76,7.31043745630209,22.2263631256603,18.8875870547301
4428,22,12,4,354,14,0,64.71,100,82.35,64.71,0.699693340710574,23.279784274401,0.901993962633191
4429,20,14,1,357,14,0,58.82,100,79.41,58.82,9.32863421633155,36.8728078487454,1.41690995733528
4430,21,13,5,353,14,0,61.76,100,80.88,61.76,8.58831713866473,17.2315499681298,0.542567069402104
4431,22,12,2,356,14,0,64.71,100,82.35,64.71,0.881637251859694,23.0162390359804,5.59268876316897
4432,20,14,2,356,14,0,58.82,100,79.41,58.82,2.59189238399952,31.2208511942107,11.6638836288332
4433,21,13,2,356,14,0,61.76,100,80.88,61.76,5.80802255967087,15.5536738753803,11.8192841586188
4434,18,16,1,357,14,0,52.94,100,76.47,52.94,7.81793909849722,40.7204566243502,15.8281565491515
4435,21,13,2,356,14,0,61.76,100,80.88,61.76,4.18477060281697,16.0026788166149,19.8655198215247
4436,20,14,2,356,14,0,58.82,100,79.41,58.82,8.95632468985729,31.1949304761352,16.6910551751803
4437,18,16,1,357,14,0,52.94,100,76.47,52.94,7.42424414234997,49.3254323679848,17.1304048925894
4438,18,16,1,357,14,0,52.94,100,76.47,52.94,9.3475066733184,41.2778176901772,15.7311143291776
4439,19,15,1,357,14,0,55.88,100,77.94,55.88,1.07023838205507,42.273391807698,7.50389558670898
4440,21,13,3,355,14,0,61.76,100,80.88,61.76,8.88852371729056,1.46454406984046,10.8093223319152
4441,21,13,2,356,14,0,61.76,100,80.88,61.76,8.14036107043023,11.068433267465,10.359459217236
4442,20,14,2,356,14,0,58.82,100,79.41,58.82,3.6609091261558,33.0021868080476,0.308805474084476
4443,18,16,1,357,14,0,52.94,100,76.47,52.94,9.50094529665611,47.2279757529492,19.5016876414852
4444,21,13,3,355,14,0,61.76,100,80.88,61.76,4.37521632216829,10.3518236552523,2.8606100971587
4445,21,13,2,356,14,0,61.76,100,80.88,61.76,4.38619420513727,18.7163362697489,5.68551657821508
4446,20,14,2,356,14,0,58.82,100,79.41,58.82,9.88325554698859,29.4966585817164,9.79809269829225
4447,18,16,1,357,14,0,52.94,100,76.47,52.94,6.58399824434773,43.7203950579191,13.6814545486232
4448,18,16,1,357,14,0,52.94,100,76.47,52.94,2.81935160135052,49.6774029670703,11.8799917172163
4449,18,16,1,357,14,0,52.94,100,76.47,52.94,9.77630215280466,43.9746084194294,10.5417937328357
4450,21,13,2,356,14,0,61.76,100,80.88,61.76,1.28331310663591,27.2383704404645,1.96642964489516
4451,21,13,2,356,14,0,61.76,100,80.88,61.76,6.71917606885508,18.4375678489307,10.0662290627585
4452,21,13,3,355,14,0,61.76,100,80.88,61.76,5.07961377390698,3.35064369755331,18.5672902708776
4453,20,14,2,356,14,0,58.82,100,79.41,58.82,3.03134545667388,28.7666598987145,1.07524553838423
4454,21,13,2,356,14,0,61.76,100,80.88,61.76,0.457585069295415,32.0599091925103,14.9943432234961
4455,21,13,3,355,14,0,61.76,100,80.88,61.76,2.13528718891132,24.4081737224008,3.50939437908339
4456,18,16,1,357,14,0,52.94,100,76.47,52.94,5.93549495879137,41.847179162431,13.9850573435598
4457,20,14,1,357,14,0,58.82,100,79.41,58.82,0.486841237737332,39.4514484384321,3.79768386678989
4458,19,15,1,357,14,0,55.88,100,77.94,55.88,0.786033082725178,42.9020119034753,7.50313891488248
4459,23,11,4,354,14,0,67.65,100,83.82,67.65,7.81199566814459,0.271917324926355,3.16841810446507
4460,20,14,1,357,14,0,58.82,100,79.41,58.82,4.55756070146908,37.7376585066039,15.4820292199634
4461,21,13,2,356,14,0,61.76,100,80.88,61.76,1.24906966545419,32.8495530620584,18.1177373733078
4462,20,14,2,356,14,0,58.82,100,79.41,58.82,2.63497371500439,31.073571061751,11.8610768228065
4463,24,10,9,349,14,0,70.59,100,85.29,70.59,2.01211202374932,2.90274690125254,0.890640935660573
4464,22,12,4,354,14,0,64.71,100,82.35,64.71,3.38609162398551,6.00958565001271,3.16646144821281
4465,18,16,1,357,14,0,52.94,100,76.47,52.94,9.51253085630538,44.1634668610411,12.511764800918
4466,22,12,4,354,14,0,64.71,100,82.35,64.71,1.56099379711384,5.10424414895102,8.99563998557934
4467,18,16,1,357,14,0,52.94,100,76.47,52.94,7.55416885947068,46.2320292421915,9.73364387946432
4468,18,16,1,357,14,0,52.94,100,76.47,52.94,7.33803697228592,40.6308414539263,11.1192788101139
4469,18,16,1,357,14,0,52.94,100,76.47,52.94,7.34992057299232,48.8714686959271,4.83910681817853
4470,21,13,1,357,14,0,61.76,100,80.88,61.76,0.391023078009626,36.8339566521733,4.76161015071985
4471,20,14,2,356,14,0,58.82,100,79.41,58.82,8.67247845553532,27.425917929009,8.34936597688724
4472,21,13,3,355,14,0,61.76,100,80.88,61.76,2.98549313060245,14.9590509683184,3.66537844366883
4473,21,13,2,356,14,0,61.76,100,80.88,61.76,3.49485949642847,12.0407966125966,11.3596722697803
4474,18,16,1,357,14,0,52.94,100,76.47,52.94,6.10007477195936,42.2109760001455,16.2564509270452
4475,21,13,2,356,14,0,61.76,100,80.88,61.76,6.65247071558242,21.1293949032135,18.2832226488297
4476,21,13,2,356,14,0,61.76,100,80.88,61.76,7.10326343442139,21.0154474013747,18.6429728837373
4477,22,12,4,354,14,0,64.71,100,82.35,64.71,0.582691502782167,22.7541816941642,1.87212657320057
4478,19,15,1,357,14,0,55.88,100,77.94,55.88,8.91129815123947,39.714255147808,5.63869774848125
4479,18,16,1,357,14,0,52.94,100,76.47,52.94,6.24562825850167,48.5497849975957,19.2687873742932
4480,18,16,1,357,14,0,52.94,100,76.47,52.94,3.17425412549258,48.071468629013,8.01586323029669
4481,20,14,1,357,14,0,58.82,100,79.41,58.82,1.00420900968318,39.1886223763615,6.85204363367003
4482,21,13,3,355,14,0,61.76,100,80.88,61.76,9.86749725749658,1.84439741449966,18.5370047846981
4483,21,13,2,356,14,0,61.76,100,80.88,61.76,3.01242703307176,15.514220142849,5.59288899148218
4484,18,16,1,357,14,0,52.94,100,76.47,52.94,4.15571009834018,46.9366558402261,18.992533126482
4485,20,14,2,356,14,0,58.82,100,79.41,58.82,8.56680322914,31.0288419020803,6.82803612990785
4486,20,14,2,356,14,0,58.82,100,79.41,58.82,8.51993504881852,28.832799506597,5.39511619093982
4487,21,13,2,356,14,0,61.76,100,80.88,61.76,6.59927661277137,6.60233163740509,12.7797855714177
4488,18,16,1,357,14,0,52.94,100,76.47,52.94,7.82538242977797,46.6475173575055,4.81770953025427
4489,20,14,2,356,14,0,58.82,100,79.41,58.82,3.05326945866344,28.8638898049468,16.4555248271456
4490,22,12,2,356,14,0,64.71,100,82.35,64.71,0.632649327866733,14.5748752398996,13.7024814205568
4491,21,13,3,355,14,0,61.76,100,80.88,61.76,4.24558376245033,1.42666635349358,10.4970355277792
4492,22,12,2,356,14,0,64.71,100,82.35,64.71,0.487500453273673,16.361029638067,18.0486452613733
4493,21,13,2,356,14,0,61.76,100,80.88,61.76,3.34673714525069,11.2970668324975,12.844053795655
4494,21,13,2,356,14,0,61.76,100,80.88,61.76,8.02712283264759,20.7547136992246,14.1614009318972
4495,19,15,1,357,14,0,55.88,100,77.94,55.88,0.651221063993662,40.4558637100535,3.09915045849457
4496,21,13,2,356,14,0,61.76,100,80.88,61.76,6.41157261432747,14.3221132314573,10.1638644422524
4497,23,11,3,355,14,0,67.65,100,83.82,67.65,0.319808804897848,7.44751770013897,6.27487601801846
4498,20,14,1,357,14,0,58.82,100,79.41,58.82,5.42202502160377,34.8685562005715,17.1842782423846
4499,18,16,1,357,14,0,52.94,100,76.47,52.94,3.59662083639582,48.9457674853763,9.24865935481768
4500,21,13,3,355,14,0,61.76,100,80.88,61.76,1.53445306079758,7.57572094047372,10.0421785818619
4501,21,13,2,356,14,0,61.76,100,80.88,61.76,5.3663195207662,21.0989729099405,19.7942184365923
4502,21,13,2,356,14,0,61.76,100,80.88,61.76,2.66494737712541,13.504513828663,9.29859837501878
4503,21,13,1,357,14,0,61.76,100,80.88,61.76,1.1714323825652,37.2585555501615,19.3002867403224
4504,21,13,2,356,14,0,61.76,100,80.88,61.76,9.70643962131345,21.7816157621953,11.7077893374069
4505,21,13,2,356,14,0,61.76,100,80.88,61.76,9.47896171328123,15.3331243624031,12.2098402111555
4506,18,16,1,357,14,0,52.94,100,76.47,52.94,9.64229203864154,42.0699552185838,5.61322484577675
4507,18,16,1,357,14,0,52.94,100,76.47,52.94,7.44508489838829,47.9212230096498,0.221598541345214
4508,22,12,3,355,14,0,64.71,100,82.35,64.71,4.84948311241658,1.44955181055772,5.85542344810823
4509,21,13,2,356,14,0,61.76,100,80.88,61.76,6.83119902998926,8.5999729614734,17.9012840497637
4510,21,13,2,356,14,0,61.76,100,80.88,61.76,8.33038836268084,18.009011309959,18.932303651587
4511,21,13,2,356,14,0,61.76,100,80.88,61.76,4.44846383394352,14.0534601439266,12.8987917892019
4512,21,13,2,356,14,0,61.76,100,80.88,61.76,3.92393503038823,17.4697418967421,10.679709665415
4513,22,12,3,355,14,0,64.71,100,82.35,64.71,5.69843224859466,1.39451749647094,8.16327000952861
4514,20,14,1,357,14,0,58.82,100,79.41,58.82,5.49211316147805,33.6880713868742,11.7455319758216
4515,21,13,2,356,14,0,61.76,100,80.88,61.76,7.85775543363211,9.85525464740838,5.21139609739198
4516,21,13,2,356,14,0,61.76,100,80.88,61.76,4.98783157911862,13.0283374572747,6.8301827829977
4517,18,16,1,357,14,0,52.94,100,76.47,52.94,1.55678121051223,40.8553542784188,2.13445457761567
4518,20,14,1,357,14,0,58.82,100,79.41,58.82,8.96593716644787,35.8019423813027,7.99490185512854
4519,21,13,2,356,14,0,61.76,100,80.88,61.76,8.74136919308503,22.4925784331524,4.88144540904523
4520,21,13,3,355,14,0,61.76,100,80.88,61.76,5.95802620420582,5.16684328571195,14.7749265064752
4521,21,13,2,356,14,0,61.76,100,80.88,61.76,5.03082502566427,26.0858718373369,7.82355906155147
