"lhs_id","TP","FN","OFF_TARGET","CORRECT_ABSENCE","neg_samples_n","neg_samples_fp","sensitivity_pct","specificity_like_pct","avg_sens_spec_like_pct","min_sens_spec_like_pct","ont_bleed_ratio_min_pct","ont_min_nb_reads","ont_min_genome_coverage_pct"
47105,13,21,3,355,14,0,38.24,100,69.12,38.24,9.72727673479854,23,35.2407701913152
47106,12,22,4,354,14,0,35.29,100,67.65,35.29,8.8156937799871,77,14.1172973441668
47107,15,19,11,347,14,1,44.12,92.86,68.49,44.12,0.245783232138772,28,3.99214958639315
47108,12,22,3,355,14,0,35.29,100,67.65,35.29,4.67101858144577,85,31.9929572288892
47109,13,21,3,355,14,0,38.24,100,69.12,38.24,0.780217381270719,35,36.631084825166
47110,13,21,3,355,14,0,38.24,100,69.12,38.24,4.02729632826378,24,33.3120973382422
47111,11,23,3,355,14,0,32.35,100,66.18,32.35,6.97565989169611,92,30.6731913473652
47112,13,21,3,355,14,0,38.24,100,69.12,38.24,7.51147499070328,40,29.0605924934844
47113,13,21,3,355,14,0,38.24,100,69.12,38.24,0.108922695088573,5,46.5980527191721
47114,18,16,11,347,14,1,52.94,92.86,72.9,52.94,1.40911493404734,7,2.88726163676695
47115,12,22,3,355,14,0,35.29,100,67.65,35.29,8.22541586649036,18,49.3612712798604
47116,13,21,3,355,14,0,38.24,100,69.12,38.24,0.675984068809287,44,30.9505004702284
47117,12,22,3,355,14,0,35.29,100,67.65,35.29,9.11292970442423,24,48.4053529702668
47118,12,22,4,354,14,0,35.29,100,67.65,35.29,9.29642844901898,63,9.25375183671375
47119,13,21,6,352,14,0,38.24,100,69.12,38.24,4.79898380520814,74,2.5354405988456
47120,13,21,6,352,14,0,38.24,100,69.12,38.24,7.71493902408753,69,3.95842502533656
47121,12,22,3,355,14,0,35.29,100,67.65,35.29,7.81027818024422,78,32.0306832248155
47122,14,20,9,349,14,0,41.18,100,70.59,41.18,2.84675327194212,66,4.54370777479047
47123,11,23,3,355,14,0,32.35,100,66.18,32.35,3.73407121088537,98,24.4776726172897
47124,11,23,4,354,14,0,32.35,100,66.18,32.35,4.59404190518346,96,15.1069115152217
47125,13,21,6,352,14,0,38.24,100,69.12,38.24,7.39506334809719,62,6.12637863116444
47126,12,22,4,354,14,0,35.29,100,67.65,35.29,2.67272588062312,71,8.29380480055092
47127,13,21,3,355,14,0,38.24,100,69.12,38.24,2.94715050558858,35,22.4346789075988
47128,13,21,3,355,14,0,38.24,100,69.12,38.24,0.801276289718202,46,35.9685445886693
47129,11,23,3,355,14,0,32.35,100,66.18,32.35,1.03801343177478,95,43.9720562315842
47130,17,17,4,354,14,0,50,100,75,50,3.5446549207153,2,12.4012343085568
47131,12,22,3,355,14,0,35.29,100,67.65,35.29,3.62316062494884,17,49.9984607286531
47132,17,17,7,351,14,1,50,92.86,71.43,50,2.02112537085705,8,7.95727236769989
47133,11,23,3,355,14,0,32.35,100,66.18,32.35,9.88064693008214,97,47.5405446831494
47134,13,21,3,355,14,0,38.24,100,69.12,38.24,8.10390159054429,26,23.8059828365302
47135,12,22,9,349,14,2,35.29,85.71,60.5,35.29,0.100853021410364,47,10.3214654195474
47136,12,22,4,354,14,0,35.29,100,67.65,35.29,9.53756474027666,59,20.6023395187111
47137,12,22,3,355,14,0,35.29,100,67.65,35.29,8.95690330030059,30,42.4251382687177
47138,13,21,3,355,14,0,38.24,100,69.12,38.24,2.43828408436766,27,31.4836052448399
47139,12,22,3,355,14,0,35.29,100,67.65,35.29,5.33553091013618,7,49.467246805492
47140,12,22,6,352,14,1,35.29,92.86,64.08,35.29,1.84929114194098,50,8.76362815751019
47141,12,22,3,355,14,0,35.29,100,67.65,35.29,2.10023647395624,50,32.4611376802534
47142,12,22,3,355,14,0,35.29,100,67.65,35.29,0.283960085759405,85,36.6593861055988
47143,13,21,3,355,14,0,38.24,100,69.12,38.24,9.96966912543103,40,33.3584497747873
47144,15,19,4,354,14,0,44.12,100,72.06,44.12,0.929989420242584,20,13.1872442463884
47145,12,22,3,355,14,0,35.29,100,67.65,35.29,2.18990634343207,77,22.1463437317164
47146,12,22,3,355,14,0,35.29,100,67.65,35.29,0.745931707867724,25,40.1613117333913
47147,11,23,4,354,14,0,32.35,100,66.18,32.35,3.0030946771309,100,16.2547436519726
47148,12,22,3,355,14,0,35.29,100,67.65,35.29,8.90736666408798,26,40.5232036373848
47149,12,22,4,354,14,0,35.29,100,67.65,35.29,3.4047357865843,56,9.74076375932095
47150,13,21,3,355,14,0,38.24,100,69.12,38.24,9.34645566891367,38,23.5200240856883
47151,12,22,4,354,14,0,35.29,100,67.65,35.29,7.99561913626706,64,12.5399415285579
47152,13,21,4,354,14,0,38.24,100,69.12,38.24,6.86481457069153,42,8.14597537252901
47153,14,20,3,355,14,0,41.18,100,70.59,41.18,1.2742757595611,8,27.7276086217742
47154,11,23,4,354,14,0,32.35,100,66.18,32.35,1.76963116193293,95,11.6154701411691
47155,11,23,3,355,14,0,32.35,100,66.18,32.35,5.35545015697889,96,34.751849099801
47156,13,21,9,349,14,0,38.24,100,69.12,38.24,3.13945983864807,87,5.44027347382018
47157,12,22,3,355,14,0,35.29,100,67.65,35.29,5.3532791334399,78,27.7993391489581
47158,12,22,3,355,14,0,35.29,100,67.65,35.29,7.99589043810929,24,41.4058786154024
47159,12,22,3,355,14,0,35.29,100,67.65,35.29,9.85996186802885,73,35.6814232079283
47160,11,23,3,355,14,0,32.35,100,66.18,32.35,6.14051526370253,86,47.8012677753362
47161,14,20,3,355,14,0,41.18,100,70.59,41.18,8.29264151614895,10,25.1819643229344
47162,14,20,4,354,14,0,41.18,100,70.59,41.18,4.81019522037434,8,18.0642880829404
47163,15,19,9,349,14,0,44.12,100,72.06,44.12,3.02140357052709,46,3.29847529532958
47164,12,22,3,355,14,0,35.29,100,67.65,35.29,6.90873154351537,8,49.2742198657906
47165,12,22,4,354,14,0,35.29,100,67.65,35.29,0.741445417562011,69,19.1443530401551
47166,12,22,3,355,14,0,35.29,100,67.65,35.29,5.18991947334949,12,45.6841612634899
47167,12,22,3,355,14,0,35.29,100,67.65,35.29,7.00249247860035,20,37.3625780022886
47168,12,22,3,355,14,0,35.29,100,67.65,35.29,4.27993904134047,41,38.4398835322806
47169,12,22,3,355,14,0,35.29,100,67.65,35.29,8.77868336978178,53,26.0711776941943
47170,14,20,3,355,14,0,41.18,100,70.59,41.18,8.39619146113705,19,25.5782637845493
47171,12,22,3,355,14,0,35.29,100,67.65,35.29,2.08073702917388,70,30.0676314684436
47172,15,19,3,355,14,0,44.12,100,72.06,44.12,1.50059173702546,6,30.3810716723653
47173,12,22,3,355,14,0,35.29,100,67.65,35.29,4.95524621701804,32,45.8190243073042
47174,12,22,4,354,14,0,35.29,100,67.65,35.29,5.08922086125324,85,11.3056208141861
47175,15,19,6,352,14,0,44.12,100,72.06,44.12,8.8325967195482,21,2.6134092614135
47176,13,21,4,354,14,0,38.24,100,69.12,38.24,6.78552604703305,28,16.9067264538915
47177,12,22,3,355,14,0,35.29,100,67.65,35.29,7.5700261650884,0,49.0118944359133
47178,12,22,3,355,14,0,35.29,100,67.65,35.29,7.2857261741607,66,29.1851108271831
47179,12,22,3,355,14,0,35.29,100,67.65,35.29,6.90182964559756,31,46.1679203638232
47180,12,22,3,355,14,0,35.29,100,67.65,35.29,3.35873117450017,39,39.7772484402806
47181,11,23,3,355,14,0,32.35,100,66.18,32.35,9.25149962473889,64,38.0304617981291
47182,12,22,4,354,14,0,35.29,100,67.65,35.29,5.594865675764,87,11.7523945290694
47183,12,22,4,354,14,0,35.29,100,67.65,35.29,4.69916671046766,86,20.9933672305299
47184,13,21,4,354,14,0,38.24,100,69.12,38.24,2.8940487834,40,15.6223494583024
47185,12,22,4,354,14,0,35.29,100,67.65,35.29,1.37521980471075,81,17.9254562906286
47186,13,21,4,354,14,0,38.24,100,69.12,38.24,5.63648552766787,24,8.42917872800422
47187,13,21,3,355,14,0,38.24,100,69.12,38.24,0.223180894743209,42,29.9951011358489
47188,12,22,4,354,14,0,35.29,100,67.65,35.29,1.94032594319473,64,18.9732271024274
47189,12,22,3,355,14,0,35.29,100,67.65,35.29,2.82659393332102,37,41.332373486342
47190,13,21,3,355,14,0,38.24,100,69.12,38.24,1.63919978813587,7,34.7709476639904
47191,13,21,4,354,14,0,38.24,100,69.12,38.24,8.98283222804612,54,7.75118170678301
47192,14,20,3,355,14,0,41.18,100,70.59,41.18,3.35028591584237,7,27.7670328190948
47193,11,23,4,354,14,0,32.35,100,66.18,32.35,7.63300690706596,93,15.1782483056005
47194,12,22,4,354,14,0,35.29,100,67.65,35.29,1.97573062595169,55,13.8543671981846
47195,13,21,3,355,14,0,38.24,100,69.12,38.24,3.6053272149439,43,22.7227750517186
47196,12,22,3,355,14,0,35.29,100,67.65,35.29,1.9693437957841,69,21.9164977952307
47197,12,22,4,354,14,0,35.29,100,67.65,35.29,8.39896921003051,61,12.8269587540126
47198,15,19,3,355,14,0,44.12,100,72.06,44.12,2.42925698955138,6,29.5937005383668
47199,13,21,3,355,14,0,38.24,100,69.12,38.24,3.28706932179963,44,30.207656358303
47200,11,23,3,355,14,0,32.35,100,66.18,32.35,3.88277180315482,96,30.9123450043844
47201,12,22,3,355,14,0,35.29,100,67.65,35.29,6.74917009001966,57,32.3024385886003
47202,11,23,4,354,14,0,32.35,100,66.18,32.35,6.06503438472203,96,9.37041305297206
47203,11,23,4,354,14,0,32.35,100,66.18,32.35,8.63945236606041,95,15.7235670965625
47204,11,23,4,354,14,0,32.35,100,66.18,32.35,0.0574447347109905,58,42.1169353074228
47205,12,22,3,355,14,0,35.29,100,67.65,35.29,7.77984707051888,45,46.3614375156033
47206,11,23,3,355,14,0,32.35,100,66.18,32.35,1.97727285058943,80,42.4379264561247
47207,13,21,3,355,14,0,38.24,100,69.12,38.24,1.71166243480688,26,28.982997930369
47208,13,21,3,355,14,0,38.24,100,69.12,38.24,8.79010380238346,6,38.4343298721072
47209,11,23,3,355,14,0,32.35,100,66.18,32.35,6.33989550381934,67,39.5666736927016
47210,13,21,7,351,14,0,38.24,100,69.12,38.24,8.67930697248201,60,1.10509706506482
47211,11,23,4,354,14,0,32.35,100,66.18,32.35,0.0606211037536617,52,47.5771147107437
